Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Glen Lyn,Virginia,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0005,0.0008
Cimarron,New Mexico,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0004,0.0008
Wildwood,Florida,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0005,0.0008
Pleasanton,California,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0000,0.0008
Silver Grove,Kentucky,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0004,0.0008
Hartford,Connecticut,0.0000,0.0005,0.0000,0.0000,0.0002,0.0001,0.0000,0.0008
Fort Collins,Colorado,0.0002,0.0002,0.0003,0.0000,0.0000,0.0001,0.0000,0.0008
Fontana,California,0.0002,0.0002,0.0001,0.0000,0.0001,0.0001,0.0001,0.0008
Tempe,Arizona,0.0001,0.0001,0.0002,0.0000,0.0001,0.0002,0.0000,0.0008
Edinburg,Texas,0.0002,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0008
Janesville,Minnesota,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0004,0.0008
Myrtle Beach,South Carolina,0.0002,0.0003,0.0000,0.0001,0.0000,0.0001,0.0000,0.0008
Mckinney,Texas,0.0001,0.0000,0.0003,0.0001,0.0000,0.0001,0.0001,0.0008
Thompson Falls,Montana,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0003,0.0008
Salinas,California,0.0001,0.0002,0.0002,0.0000,0.0001,0.0001,0.0000,0.0007
Compton,California,0.0001,0.0004,0.0000,0.0000,0.0001,0.0000,0.0000,0.0007
Walnut Creek,California,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0000,0.0007
Kalamazoo,Michigan,0.0002,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0007
Naples,Texas,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0003,0.0007
Williston,North Dakota,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0003,0.0007
Frederick,Maryland,0.0002,0.0001,0.0004,0.0000,0.0000,0.0000,0.0000,0.0007
Homestead,Florida,0.0004,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007
Murfreesboro,Tennessee,0.0003,0.0002,0.0000,0.0001,0.0001,0.0001,0.0000,0.0007
Visalia,California,0.0002,0.0002,0.0002,0.0000,0.0001,0.0001,0.0000,0.0007
Pasadena,California,0.0001,0.0001,0.0005,0.0000,0.0000,0.0001,-0.0001,0.0007
Philip,South Dakota,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0003,0.0007
Green Bay,Wisconsin,0.0003,0.0002,0.0001,0.0000,0.0001,0.0000,0.0000,0.0007
Dorris,California,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0004,0.0007
Vero Beach,Florida,0.0002,0.0001,0.0004,0.0000,0.0000,0.0000,0.0000,0.0007
Oxnard,California,0.0003,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0007
Renton,Washington,0.0002,0.0000,0.0004,0.0000,0.0000,0.0001,0.0000,0.0007
Saginaw,Michigan,0.0001,0.0004,0.0000,0.0000,0.0001,0.0000,0.0000,0.0007
Morton,Washington,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0003,0.0007
Topeka,Kansas,0.0002,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0007
Everett,Washington,0.0002,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0007
Crossville,Alabama,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0001,0.0007
Hemet,California,0.0001,0.0003,0.0000,0.0001,0.0000,0.0001,0.0001,0.0007
Sunnyvale,California,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0000,0.0007
Manhattan Beach,California,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0007
Humble,Texas,0.0002,0.0001,0.0002,0.0001,0.0000,0.0000,0.0001,0.0007
Waco,Texas,0.0002,0.0003,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007
Troy,Michigan,0.0001,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0007
Vernon,Michigan,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0005,0.0007
Corona,California,0.0002,0.0001,0.0003,0.0000,0.0000,0.0001,0.0000,0.0007
Joliet,Illinois,0.0002,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0007
Beverly Hills,California,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0007
Estelline,South Dakota,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0003,0.0007
Stamford,Connecticut,0.0000,0.0001,0.0005,0.0000,0.0000,0.0000,0.0001,0.0007
Royal City,Washington,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0007
Sibley,Louisiana,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0001,0.0007
Raleigh,Illinois,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0005,0.0007
High Point,North Carolina,0.0002,0.0003,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007
Daytona Beach,Florida,0.0000,0.0005,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007
Gilbert,Arizona,0.0002,0.0000,0.0002,0.0001,0.0000,0.0001,0.0001,0.0007
Van Buren,Missouri,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0002,0.0007
Ontario,California,0.0002,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0007
Lexington,Massachusetts,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0007
Evansville,Wyoming,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0004,0.0007
Northbrook,Illinois,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0007
Georgetown,Louisiana,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0003,0.0007
Manassas,Virginia,0.0001,0.0000,0.0005,0.0001,0.0000,0.0000,0.0000,0.0007
West Chester,Pennsylvania,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0007
Burlingame,California,0.0000,0.0000,0.0005,0.0001,0.0000,0.0000,0.0000,0.0007
Bridgeport,Connecticut,0.0001,0.0003,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007
Columbia,Missouri,0.0003,0.0001,0.0001,0.0000,0.0000,0.0001,0.0001,0.0007
Ogden,Utah,0.0002,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0007
Federal Way,Washington,0.0002,0.0000,0.0003,0.0000,0.0000,0.0001,0.0000,0.0006
Redwood City,California,0.0001,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0006
Lancaster,Pennsylvania,0.0001,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0006
Nampa,Idaho,0.0002,0.0002,0.0000,0.0001,0.0000,0.0000,0.0001,0.0006
Cleveland,North Carolina,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0004,0.0006
Seaside Park,New Jersey,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0001,0.0006
Golden,Colorado,0.0000,0.0001,0.0005,0.0000,0.0000,0.0000,0.0000,0.0006
Fullerton,California,0.0000,0.0001,0.0004,0.0000,0.0000,0.0001,0.0000,0.0006
Spartanburg,South Carolina,0.0001,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0006
Kent,Washington,0.0001,0.0001,0.0001,0.0002,0.0000,0.0001,0.0001,0.0006
Richmond,Texas,0.0001,0.0000,0.0002,0.0002,0.0000,0.0000,0.0001,0.0006
Barrington,Illinois,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0006
Davenport,Iowa,0.0002,0.0002,0.0001,0.0000,0.0001,0.0001,0.0000,0.0006
San Angelo,Texas,0.0001,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0006
Pomona,California,0.0002,0.0001,0.0002,0.0000,0.0000,0.0001,0.0000,0.0006
Farwell,Texas,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0004,0.0006
Gordonsville,Tennessee,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0002,0.0006
Saratoga,California,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0006
